"Date","Price","Open","High","Low","Vol.","Change %"
"06/07/2023","2,267.97","2,257.85","2,269.65","2,244.77","4.76M","0.76%"
"06/06/2023","2,250.90","2,254.62","2,258.48","2,235.15","3.46M","0.08%"
"06/05/2023","2,248.99","2,239.87","2,254.89","2,231.93","5.03M","0.90%"
"06/02/2023","2,228.98","2,243.32","2,254.08","2,225.16","7.29M","-0.33%"
"06/01/2023","2,236.28","2,251.63","2,255.94","2,231.52","6.73M","-0.27%"
"05/31/2023","2,242.32","2,269.65","2,278.59","2,234.24","12.51M","-1.99%"
"05/30/2023","2,287.76","2,288.35","2,303.87","2,282.68","5.23M","-0.03%"
"05/29/2023","2,288.35","2,288.71","2,296.88","2,276.18","4.62M","0.56%"
"05/26/2023","2,275.55","2,231.52","2,277.82","2,224.94","5.83M","2.73%"
"05/25/2023","2,215.13","2,209.64","2,223.35","2,193.43","5.30M","-0.01%"
"05/24/2023","2,215.40","2,220.53","2,236.96","2,209.23","3.74M","-0.58%"
"05/23/2023","2,228.39","2,233.92","2,240.60","2,225.57","2.81M","-0.02%"
"05/22/2023","2,228.79","2,210.64","2,238.78","2,208.23","3.43M","0.53%"
"05/19/2023","2,216.95","2,209.77","2,220.58","2,195.97","3.72M","0.32%"
"05/18/2023","2,209.77","2,223.85","2,230.61","2,203.51","4.86M","-0.22%"
"05/17/2023","2,214.54","2,236.06","2,237.87","2,205.19","4.06M","-0.59%"
"05/16/2023","2,227.70","2,264.20","2,269.28","2,224.39","4.02M","-1.42%"
"05/15/2023","2,259.89","2,260.48","2,273.78","2,245.27","3.15M","0.20%"
"05/12/2023","2,255.44","2,242.23","2,258.21","2,230.16","3.21M","0.16%"
"05/11/2023","2,251.76","2,268.69","2,278.27","2,248.36","4.87M","-0.65%"
"05/10/2023","2,266.56","2,260.57","2,269.51","2,252.58","5.02M","0.69%"
"05/09/2023","2,251.08","2,246.95","2,257.66","2,236.28","2.98M","0.31%"
"05/08/2023","2,244.14","2,224.25","2,254.80","2,218.94","4.22M","1.24%"
"05/05/2023","2,216.76","2,216.08","2,234.56","2,211.54","4.04M","-0.26%"
"05/04/2023","2,222.44","2,198.06","2,226.84","2,192.12","3.99M","1.15%"
"05/03/2023","2,197.11","2,219.72","2,219.72","2,190.71","3.26M","-0.86%"
"05/02/2023","2,216.13","2,211.73","2,220.44","2,204.37","5.99M","0.85%"
"04/28/2023","2,197.47","2,162.52","2,200.56","2,162.29","7.18M","1.83%"
"04/27/2023","2,158.03","2,156.17","2,164.34","2,146.18","4.23M","0.63%"
"04/26/2023","2,144.45","2,159.80","2,166.24","2,137.15","3.98M","-0.59%"
"04/25/2023","2,157.12","2,147.99","2,161.25","2,133.92","4.26M","0.77%"
"04/24/2023","2,140.73","2,156.17","2,161.52","2,131.65","5.97M","0.38%"
"04/21/2023","2,132.56","2,134.06","2,143.46","2,121.12","3.53M","0.13%"
"04/20/2023","2,129.88","2,137.19","2,141.64","2,117.22","3.23M","-0.25%"
"04/19/2023","2,135.28","2,123.53","2,140.64","2,117.31","5.66M","0.50%"
"04/18/2023","2,124.71","2,157.98","2,157.98","2,111.68","4.80M","-1.14%"
"04/17/2023","2,149.31","2,201.51","2,201.51","2,132.61","8.27M","0.51%"
"04/13/2023","2,138.46","2,136.19","2,147.81","2,126.21","5.71M","0.38%"
"04/12/2023","2,130.43","2,121.08","2,149.63","2,115.36","8.39M","0.44%"
"04/11/2023","2,121.08","2,118.94","2,125.30","2,109.91","4.87M","0.49%"
"04/10/2023","2,110.64","2,133.47","2,133.83","2,107.64","5.98M","-0.71%"
"04/06/2023","2,125.71","2,104.55","2,137.10","2,104.55","8.51M","0.67%"
"04/05/2023","2,111.54","2,131.65","2,131.65","2,095.84","7.51M","-0.24%"
"04/03/2023","2,116.63","2,128.93","2,132.56","2,101.69","4.75M","0.02%"
"03/31/2023","2,116.26","2,047.22","2,127.52","2,046.95","13.00M","4.31%"
"03/29/2023","2,028.79","2,032.70","2,037.96","2,007.37","8.68M","-0.59%"
"03/28/2023","2,040.87","2,038.14","2,048.58","2,030.88","5.80M","0.47%"
"03/27/2023","2,031.38","2,013.18","2,046.31","1,997.47","6.49M","1.55%"
"03/24/2023","2,000.29","2,038.37","2,042.68","1,995.47","5.71M","-1.98%"
"03/23/2023","2,040.69","2,059.02","2,060.75","2,036.37","7.50M","-1.26%"
"03/22/2023","2,066.83","2,074.46","2,080.31","2,060.84","5.04M","0.30%"
"03/21/2023","2,060.57","2,014.49","2,064.47","2,012.72","9.88M","3.11%"
"03/20/2023","1,998.42","2,010.91","2,015.45","1,979.13","9.01M","-0.98%"
"03/17/2023","2,018.26","2,037.92","2,044.45","2,008.82","15.70M","-0.13%"
"03/16/2023","2,020.80","2,036.33","2,046.31","1,999.29","8.47M","-0.50%"
"03/15/2023","2,030.93","2,073.64","2,086.53","2,022.17","10.03M","-1.71%"
"03/14/2023","2,066.24","2,069.92","2,092.57","2,059.98","7.40M","-0.37%"
"03/13/2023","2,074.00","2,114.40","2,128.02","2,065.38","5.89M","-1.64%"
"03/10/2023","2,108.68","2,125.75","2,128.02","2,101.74","6.15M","-1.55%"
"03/09/2023","2,141.87","2,193.39","2,194.20","2,138.10","7.49M","-2.40%"
"03/08/2023","2,194.61","2,186.76","2,196.11","2,165.24","7.28M","0.36%"
"03/06/2023","2,186.76","2,178.86","2,201.19","2,178.86","4.69M","0.98%"
"03/03/2023","2,165.61","2,132.70","2,172.92","2,125.80","6.76M","2.55%"
"03/02/2023","2,111.73","2,121.67","2,134.97","2,107.69","4.31M","-0.76%"
"03/01/2023","2,127.93","2,128.02","2,129.38","2,109.18","5.33M","0.92%"
"02/28/2023","2,108.55","2,139.01","2,148.90","2,100.47","10.15M","-1.91%"
"02/27/2023","2,149.67","2,162.52","2,169.47","2,135.01","5.17M","-0.66%"
